id,menutitle,created_at,updated_at,position
94e07fb7-c0f8-4e29-ab48-7895c33e03fa,Main,2024-02-28 09:18:34.485632+00,2024-02-28 09:18:34.485632+00,1
2e12c576-fe20-4d48-8da2-fa650a1142d5,Management,2024-02-28 09:19:08.394234+00,2024-02-28 09:19:08.394234+00,2
