id,role_id,menu_item_id,created_at,updated_at,path
6a1f8d21-bd0e-47b0-95e2-5c3024ac253a,7fab076a-af3b-42e3-849d-95f04dad4854,dcc64efd-d21e-49ae-aece-0ec0dc60658f,2024-03-08 03:27:43.184186+00,2024-03-08 03:27:43.184186+00,/dashboard
1fde5bb8-4237-40dc-b6e0-a71094bcec01,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,dcc64efd-d21e-49ae-aece-0ec0dc60658f,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/dashboard
3b78efea-c382-4495-bc08-80c546aad22f,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,45128a9f-19c3-4758-8e63-29896a265677,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/blog
b4a3cdd9-a192-4574-81a5-f6bfa01e9d65,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,860c37c5-f2e2-413c-a6c0-a9cf0db64232,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/menu-management
174ca7e3-56c2-4717-b357-cef3ebb981fc,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,1c6a347f-3558-45dc-8f41-e79e3a76441b,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/roles/permissions
08c5b74d-448d-4d79-a80e-5695c57a6699,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,b9059581-e83e-41f3-a464-44e04bde8460,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/users
dd8126a6-857f-4fa4-86dc-abe748592650,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,61dde7c6-148c-4732-937f-501ec0d413e2,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/menu/item
0f861f15-a4d4-4ce4-b572-5c5df2e4190c,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,c44f77c9-f504-4a95-a549-087905810412,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/menu
885413d2-2aec-4ea4-aca3-cdac7e3d8620,a7ece240-e5ea-4060-8e13-0fe6078dfaf2,ecac81e5-d887-44e7-a46b-0b1120a342e8,2024-03-08 08:43:14.350321+00,2024-03-08 08:43:14.350321+00,/menu/sub
6206c86f-a78a-4d65-b874-8a12d25c69b0,7fab076a-af3b-42e3-849d-95f04dad4854,45128a9f-19c3-4758-8e63-29896a265677,2024-03-14 03:24:17.516293+00,2024-03-14 03:24:17.516293+00,/blog
